epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7506,1.67192,2.21618,1.43188,0.80424,0.7572,0.81135,0.4228,1.54003,1.30254,1.40181,0.000475386,0.000475386,0.000475386
2,107.669,1.52815,1.41409,1.35005,0.80148,0.72497,0.80033,0.43966,1.43178,1.217,1.31256,0.000939942,0.000939942,0.000939942
3,157.041,1.47774,1.20482,1.32437,0.77083,0.76268,0.81929,0.44551,1.43782,1.0668,1.33233,0.00139271,0.00139271,0.00139271
4,206.371,1.43162,1.0998,1.30457,0.80206,0.78063,0.8453,0.4877,1.37046,0.97133,1.28782,0.00137595,0.00137595,0.00137595
5,255.746,1.36826,1.04075,1.27608,0.77463,0.77604,0.83767,0.49317,1.30699,0.94734,1.26528,0.00135826,0.00135826,0.00135826
6,305.068,1.36203,1.0091,1.26993,0.76941,0.70667,0.79757,0.47855,1.32456,1.05663,1.28207,0.00134058,0.00134058,0.00134058
7,354.367,1.31295,0.98634,1.25282,0.79626,0.78113,0.84373,0.52072,1.23223,0.91066,1.23055,0.0013229,0.0013229,0.0013229
8,403.623,1.27367,0.9587,1.22403,0.74043,0.79885,0.83339,0.51011,1.21967,0.93023,1.24045,0.00130521,0.00130521,0.00130521
9,452.883,1.24775,0.94323,1.21273,0.77441,0.80464,0.84015,0.52168,1.17018,0.94194,1.19849,0.00128753,0.00128753,0.00128753
10,502.109,1.22866,0.93172,1.20751,0.76037,0.81046,0.84653,0.53701,1.153,0.86538,1.19858,0.00126985,0.00126985,0.00126985
11,551.42,1.2084,0.92243,1.19318,0.81068,0.78112,0.83766,0.52848,1.16357,0.85762,1.19563,0.00125216,0.00125216,0.00125216
12,600.773,1.19806,0.90855,1.19208,0.79982,0.7993,0.84958,0.54234,1.14883,0.8574,1.17811,0.00123448,0.00123448,0.00123448
13,650.191,1.16809,0.89585,1.16977,0.76843,0.776,0.82927,0.53765,1.10786,0.88808,1.16924,0.00121679,0.00121679,0.00121679
14,699.48,1.17239,0.88707,1.17053,0.80199,0.81928,0.85925,0.55529,1.10032,0.80484,1.15677,0.00119911,0.00119911,0.00119911
15,748.894,1.13394,0.86823,1.15316,0.85034,0.78849,0.863,0.56352,1.06247,0.82631,1.1422,0.00118143,0.00118143,0.00118143
16,798.208,1.13586,0.87057,1.15124,0.8279,0.79508,0.86119,0.56971,1.05389,0.8003,1.15181,0.00116374,0.00116374,0.00116374
17,847.508,1.11317,0.85101,1.14611,0.83894,0.79224,0.86836,0.57197,1.02897,0.80194,1.13527,0.00114606,0.00114606,0.00114606
18,896.833,1.09945,0.8476,1.13467,0.78921,0.78967,0.84023,0.56176,1.02353,0.80499,1.1306,0.00112837,0.00112837,0.00112837
19,946.161,1.08553,0.83655,1.13431,0.8392,0.78203,0.85459,0.56869,1.0305,0.78225,1.12706,0.00111069,0.00111069,0.00111069
20,995.488,1.08432,0.83867,1.13449,0.81584,0.78861,0.85134,0.56084,1.05139,0.79078,1.13957,0.00109301,0.00109301,0.00109301
21,1044.84,1.08151,0.83895,1.13196,0.83116,0.79742,0.85019,0.57025,1.01794,0.79137,1.11769,0.00107532,0.00107532,0.00107532
22,1094.18,1.06575,0.83361,1.1237,0.83207,0.80015,0.86647,0.57631,0.99643,0.80119,1.11399,0.00105764,0.00105764,0.00105764
23,1143.54,1.05487,0.82988,1.12184,0.84812,0.75973,0.84917,0.57224,1.002,0.79601,1.10564,0.00103995,0.00103995,0.00103995
24,1192.93,1.05319,0.81489,1.11605,0.852,0.77946,0.86627,0.58302,0.9867,0.78038,1.10802,0.00102227,0.00102227,0.00102227
25,1242.25,1.0352,0.8069,1.1101,0.82304,0.81265,0.86869,0.58858,0.9679,0.76487,1.10244,0.00100459,0.00100459,0.00100459
26,1291.57,1.03029,0.80278,1.10169,0.86201,0.77106,0.86778,0.59186,0.96097,0.76392,1.0979,0.000986903,0.000986903,0.000986903
27,1341,1.02247,0.81204,1.09779,0.84563,0.78251,0.85924,0.5879,0.95598,0.75932,1.09976,0.000969219,0.000969219,0.000969219
28,1390.33,1.02299,0.81139,1.10155,0.83486,0.81988,0.8722,0.58779,0.98762,0.76339,1.09677,0.000951535,0.000951535,0.000951535
29,1439.72,1.01076,0.79291,1.09309,0.86041,0.79295,0.86556,0.59377,0.93281,0.73905,1.09212,0.000933851,0.000933851,0.000933851
30,1489.16,1.00847,0.79565,1.09734,0.80968,0.81741,0.86567,0.60025,0.92863,0.75777,1.07971,0.000916168,0.000916168,0.000916168
31,1538.57,0.99275,0.78386,1.09036,0.83707,0.80293,0.86684,0.59638,0.94668,0.75303,1.08811,0.000898484,0.000898484,0.000898484
32,1587.91,0.97998,0.78454,1.08079,0.84503,0.7868,0.86366,0.60427,0.9097,0.7457,1.06874,0.0008808,0.0008808,0.0008808
33,1637.33,0.97789,0.77757,1.08241,0.85051,0.79811,0.86047,0.60282,0.91826,0.73887,1.07579,0.000863116,0.000863116,0.000863116
34,1686.77,0.96152,0.76982,1.07554,0.84507,0.78676,0.85798,0.59654,0.91337,0.72855,1.07235,0.000845432,0.000845432,0.000845432
35,1736.18,0.96441,0.76731,1.07778,0.81496,0.81978,0.86769,0.59943,0.90156,0.73225,1.07398,0.000827748,0.000827748,0.000827748
36,1785.59,0.95295,0.75801,1.074,0.83922,0.81029,0.86857,0.60244,0.89686,0.73334,1.06637,0.000810064,0.000810064,0.000810064
37,1835.04,0.95483,0.75838,1.07326,0.85959,0.80687,0.8728,0.61008,0.89744,0.71484,1.0681,0.00079238,0.00079238,0.00079238
38,1884.43,0.94693,0.76017,1.06468,0.86132,0.78997,0.86338,0.60504,0.89044,0.72678,1.06185,0.000774697,0.000774697,0.000774697
39,1933.88,0.94866,0.75893,1.06822,0.84591,0.79866,0.86241,0.60338,0.90451,0.73369,1.07163,0.000757013,0.000757013,0.000757013
40,1983.26,0.94858,0.7595,1.06737,0.86273,0.79802,0.87172,0.60916,0.8957,0.71131,1.06289,0.000739329,0.000739329,0.000739329
41,2032.67,0.9254,0.74888,1.05978,0.84371,0.80644,0.86537,0.61413,0.872,0.71931,1.04703,0.000721645,0.000721645,0.000721645
42,2082.16,0.9354,0.74886,1.0636,0.82033,0.81963,0.86663,0.60432,0.88555,0.73268,1.05905,0.000703961,0.000703961,0.000703961
43,2131.59,0.91464,0.73763,1.05238,0.87122,0.78158,0.87459,0.61441,0.86764,0.72001,1.0551,0.000686277,0.000686277,0.000686277
